QuantumComputerID,T1CoherenceTime,T2CoherenceTime,Frequency,OperationID,OneQubitGateErrorRate
4,65.45,19.26,5.10,4,-3.32
4,66.63,62.95,5.24,4,-2.54
4,63.45,97.61,5.03,4,-4.49
4,79.09,38.60,4.90,4,5.76
4,76.02,32.69,5.03,4,5.57
4,19.44,56.25,5.07,4,-23.44
4,67.64,56.59,4.92,4,0.98
4,52.21,77.02,4.97,4,14.16
4,87.69,131.44,4.74,4,-5.18
4,44.05,93.16,4.96,4,-2.73
4,58.13,49.74,4.95,4,2.34
4,36.36,93.30,5.01,4,-7.71
4,8.12,10.92,4.76,4,-3.32
4,28.42,50.36,4.97,4,-2.44
4,65.45,19.26,5.10,5,-7.71
4,66.63,62.95,5.24,5,-4.30
4,63.45,97.61,5.03,5,-5.86
4,79.09,38.60,4.90,5,-12.60
4,76.02,32.69,5.03,5,-5.76
4,19.44,56.25,5.07,5,-15.92
4,67.64,56.59,4.92,5,-19.14
4,52.21,77.02,4.97,5,-12.40
4,87.69,131.44,4.74,5,-17.77
4,44.05,93.16,4.96,5,-6.35
4,58.13,49.74,4.95,5,-4.98
4,36.36,93.30,5.01,5,-4.59
4,8.12,10.92,4.76,5,-20.31
4,28.42,50.36,4.97,5,-16.50
4,65.45,19.26,5.10,6,-7.23
4,66.63,62.95,5.24,6,-4.79
4,63.45,97.61,5.03,6,-5.08
4,79.09,38.60,4.90,6,-13.57
4,76.02,32.69,5.03,6,-6.64
4,19.44,56.25,5.07,6,-16.89
4,67.64,56.59,4.92,6,-17.97
4,52.21,77.02,4.97,6,-11.33
4,87.69,131.44,4.74,6,-16.80
4,44.05,93.16,4.96,6,-6.93
4,58.13,49.74,4.95,6,-6.64
4,36.36,93.30,5.01,6,-5.96
4,8.12,10.92,4.76,6,-20.90
4,28.42,50.36,4.97,6,-15.14
4,65.45,19.26,5.10,7,0.10
4,66.63,62.95,5.24,7,1.46
4,63.45,97.61,5.03,7,0.20
4,79.09,38.60,4.90,7,11.43
4,76.02,32.69,5.03,7,0.68
4,19.44,56.25,5.07,7,0.68
4,67.64,56.59,4.92,7,10.35
4,52.21,77.02,4.97,7,36.91
4,87.69,131.44,4.74,7,7.62
4,44.05,93.16,4.96,7,0.68
