QuantumComputerID,T1CoherenceTime,T2CoherenceTime,Frequency,OperationID,ReadoutErrorRate
4,65.45,19.26,5.10,8,0.10
4,66.63,62.95,5.24,8,0.98
4,63.45,97.61,5.03,8,0.10
4,79.09,38.60,4.90,8,10.74
4,76.02,32.69,5.03,8,0.98
4,19.44,56.25,5.07,8,0.20
4,67.64,56.59,4.92,8,0.59
4,52.21,77.02,4.97,8,42.48
4,87.69,131.44,4.74,8,8.11
4,44.05,93.16,4.96,8,0.39
4,58.13,49.74,4.95,8,8.40
4,36.36,93.30,5.01,8,0.39
4,8.12,10.92,4.76,8,12.70
4,28.42,50.36,4.97,8,6.25
5,109.29,76.97,4.82,8,1.76
5,60.88,29.69,4.89,8,2.34
5,94.73,109.59,4.72,8,2.54
5,82.22,73.60,4.79,8,2.83
5,88.24,29.13,5.02,8,2.73
6,132.30,16.81,4.80,8,3.42
6,103.97,105.90,4.94,8,2.25
6,89.83,143.34,4.83,8,0.39
6,89.29,81.54,4.81,8,0.39
6,15.13,20.94,4.75,8,0.29
7,48.90,47.74,5.29,8,1.37
7,75.88,53.50,5.24,8,0.98
7,65.88,65.62,5.03,8,1.86
7,52.45,33.98,5.30,8,1.76
7,49.01,19.45,5.08,8,1.46
4,60.17,19.26,5.10,8,0.20
4,66.45,69.75,5.24,8,0.78
4,63.45,108.94,5.03,8,0.39
4,85.76,53.65,4.90,8,10.94
4,61.72,32.96,5.03,8,1.17
4,21.21,55.71,5.07,8,0.29
4,74.72,63.07,4.92,8,3.42
4,50.44,85.52,4.97,8,13.77
4,103.37,132.21,4.74,8,4.20
4,44.05,60.71,4.96,8,1.07
4,72.59,57.18,4.95,8,5.66
4,36.36,65.65,5.01,8,0.98
4,6.62,11.78,4.76,8,14.55
4,31.06,52.91,4.97,8,4.00
4,60.17,19.26,5.10,8,0.49
4,66.45,69.75,5.24,8,0.88
4,63.45,108.94,5.03,8,0.78
4,85.76,53.65,4.90,8,12.99
4,61.72,32.96,5.03,8,0.49
4,21.21,55.71,5.07,8,0.39
4,74.72,63.07,4.92,8,13.67
4,50.44,85.52,4.97,8,3.71
4,103.37,132.21,4.74,8,4.39
4,44.05,60.71,4.96,8,0.39
4,72.59,57.18,4.95,8,4.39
4,36.36,65.65,5.01,8,2.83
4,6.62,11.78,4.76,8,13.87
4,31.06,52.91,4.97,8,4.98
5,143.83,96.17,4.82,8,0.59
5,124.97,37.00,4.89,8,3.42
5,142.13,87.41,4.72,8,2.15
5,66.94,60.60,4.79,8,3.42
5,92.72,31.93,5.02,8,3.52
5,143.83,96.17,4.82,8,1.37
5,124.97,37.00,4.89,8,2.44
5,142.13,87.41,4.72,8,2.34
5,66.94,60.60,4.79,8,3.12
5,92.72,31.93,5.02,8,4.79
6,113.41,16.81,4.80,8,1.95
6,106.75,126.18,4.94,8,0.49
6,98.34,139.47,4.83,8,0.68
6,70.39,74.43,4.81,8,0.49
6,15.13,5.77,4.75,8,0.29
6,113.41,16.81,4.80,8,3.03
6,106.75,126.18,4.94,8,0.59
6,98.34,139.47,4.83,8,0.39
6,70.39,74.43,4.81,8,1.07
6,15.13,5.77,4.75,8,0.20
7,50.32,53.02,5.29,8,1.07
7,73.73,56.56,5.24,8,0.68
7,67.89,73.08,5.03,8,1.37
7,47.33,28.04,5.30,8,3.52
7,32.95,28.17,5.08,8,0.98
7,50.32,53.02,5.29,8,1.37
7,73.73,56.56,5.24,8,0.68
7,67.89,73.08,5.03,8,0.68
7,47.33,28.04,5.30,8,1.46
7,32.95,28.17,5.08,8,0.39
4,60.17,16.84,5.10,8,0.59
4,65.92,75.41,5.24,8,0.78
4,70.48,108.19,5.03,8,0.49
4,97.47,50.45,4.90,8,12.60
4,59.74,34.52,5.03,8,1.27
4,22.47,54.81,5.07,8,0.20
4,74.72,8.98,4.92,8,4.20
4,61.96,70.75,4.97,8,10.35
4,82.40,131.78,4.74,8,6.25
4,40.03,78.56,4.96,8,0.49
4,78.72,58.40,4.95,8,7.03
4,39.33,85.33,5.01,8,0.20
4,6.85,10.93,4.76,8,13.57
4,28.63,57.57,4.97,8,5.08
5,125.89,85.35,4.82,8,1.46
5,140.20,35.15,4.89,8,2.64
5,148.46,125.65,4.72,8,0.98
5,93.14,81.28,4.79,8,4.88
5,82.79,33.02,5.02,8,3.22
6,93.81,16.81,4.80,8,2.54
6,120.16,115.75,4.94,8,0.78
6,74.12,96.77,4.83,8,0.29
6,76.53,75.39,4.81,8,0.29
6,15.13,17.80,4.75,8,0.20
7,43.80,46.78,5.29,8,1.66
7,73.73,42.97,5.24,8,0.78
7,72.35,69.95,5.03,8,0.88
7,52.24,30.13,5.30,8,5.47
7,32.95,27.18,5.08,8,0.78
4,64.84,16.84,5.10,8,0.59
4,68.20,84.09,5.24,8,0.88
4,86.85,148.61,5.03,8,0.49
4,97.29,58.88,4.90,8,14.16
4,59.90,34.78,5.03,8,0.59
4,19.57,52.77,5.07,8,0.20
4,64.52,66.85,4.92,8,1.07
4,55.94,89.16,4.97,8,35.64
4,78.31,136.93,4.74,8,5.96
4,41.84,66.52,4.96,8,0.20
4,69.61,64.23,4.95,8,10.64
4,39.26,79.50,5.01,8,1.86
4,5.69,8.67,4.76,8,16.11
4,20.38,54.47,4.97,8,4.69
4,64.84,16.84,5.10,8,0.59
4,68.20,84.09,5.24,8,1.27
4,86.85,148.61,5.03,8,0.29
4,97.29,58.88,4.90,8,12.79
4,59.90,34.78,5.03,8,0.49
4,19.57,52.77,5.07,8,0.29
4,64.52,66.85,4.92,8,0.78
4,55.94,89.16,4.97,8,32.03
4,78.31,136.93,4.74,8,5.96
4,41.84,66.52,4.96,8,3.22
4,69.61,64.23,4.95,8,11.91
4,39.26,79.50,5.01,8,1.27
4,5.69,8.67,4.76,8,12.79
4,20.38,54.47,4.97,8,4.59
4,64.84,16.84,5.10,8,0.20
4,68.20,84.09,5.24,8,0.49
4,86.85,148.61,5.03,8,1.17
4,97.29,58.88,4.90,8,14.45
4,59.90,34.78,5.03,8,0.49
4,19.57,52.77,5.07,8,0.39
4,64.52,66.85,4.92,8,0.39
4,55.94,89.16,4.97,8,4.30
4,78.31,136.93,4.74,8,5.27
4,41.84,66.52,4.96,8,0.10
4,69.61,64.23,4.95,8,8.59
4,39.26,79.50,5.01,8,2.15
4,5.69,8.67,4.76,8,13.28
4,20.38,54.47,4.97,8,4.88
4,64.84,16.84,5.10,8,0.59
4,68.20,84.09,5.24,8,1.07
4,86.85,148.61,5.03,8,0.49
4,97.29,58.88,4.90,8,11.62
4,59.90,34.78,5.03,8,0.39
4,19.57,52.77,5.07,8,0.49
4,64.52,66.85,4.92,8,15.92
4,55.94,89.16,4.97,8,5.37
4,78.31,136.93,4.74,8,5.76
4,41.84,66.52,4.96,8,0.10
4,69.61,64.23,4.95,8,2.93
4,39.26,79.50,5.01,8,0.98
4,5.69,8.67,4.76,8,14.84
4,20.38,54.47,4.97,8,5.37
4,64.84,16.84,5.10,8,0.10
4,68.20,84.09,5.24,8,0.88
4,86.85,148.61,5.03,8,0.88
4,97.29,58.88,4.90,8,11.43
4,59.90,34.78,5.03,8,2.05
4,19.57,52.77,5.07,8,0.29
4,64.52,66.85,4.92,8,1.76
4,55.94,89.16,4.97,8,4.00
4,78.31,136.93,4.74,8,4.59
4,41.84,66.52,4.96,8,0.59
4,69.61,64.23,4.95,8,10.25
4,39.26,79.50,5.01,8,0.88
4,5.69,8.67,4.76,8,18.85
4,20.38,54.47,4.97,8,4.49
4,64.84,16.84,5.10,8,0.49
4,68.20,84.09,5.24,8,1.17
4,86.85,148.61,5.03,8,0.98
4,97.29,58.88,4.90,8,12.70
4,59.90,34.78,5.03,8,1.46
4,19.57,52.77,5.07,8,0.10
4,64.52,66.85,4.92,8,3.61
4,55.94,89.16,4.97,8,35.06
4,78.31,136.93,4.74,8,4.59
4,41.84,66.52,4.96,8,0.98
4,69.61,64.23,4.95,8,9.67
4,39.26,79.50,5.01,8,0.59
4,5.69,8.67,4.76,8,14.06
4,20.38,54.47,4.97,8,6.54
0,120.03,125.17,4.97,8,3.91
0,120.03,125.17,4.97,8,3.32
0,120.03,125.17,4.97,8,3.22
0,120.03,125.17,4.97,8,2.44
0,120.03,125.17,4.97,8,2.34
1,94.11,41.45,4.64,8,7.23
1,89.53,73.16,4.72,8,4.39
1,87.42,109.11,4.76,8,1.46
1,96.60,111.46,4.69,8,3.91
1,89.94,42.22,4.92,8,3.22
1,94.11,41.45,4.64,8,5.76
1,89.53,73.16,4.72,8,3.32
1,87.42,109.11,4.76,8,3.32
1,96.60,111.46,4.69,8,3.32
1,89.94,42.22,4.92,8,3.52
1,94.11,41.45,4.64,8,3.03
1,89.53,73.16,4.72,8,2.54
1,87.42,109.11,4.76,8,1.07
1,96.60,111.46,4.69,8,3.03
1,89.94,42.22,4.92,8,2.83
1,94.11,41.45,4.64,8,6.54
1,89.53,73.16,4.72,8,4.30
1,87.42,109.11,4.76,8,2.05
1,96.60,111.46,4.69,8,2.34
1,89.94,42.22,4.92,8,2.73
1,94.11,41.45,4.64,8,16.50
1,89.53,73.16,4.72,8,15.23
1,87.42,109.11,4.76,8,5.76
